id,date,ASNumber,UUID,TestTime,CongestionControl,MeanThroughputMbps,MinRTT,LossRate,ClientIP,StartTime,EndTime,DownloadUUID,duration
ndt-virtual-zp27c_1686341510_0000000000134933,2023-06-28,17054.0,ndt-virtual-zp27c_1686341510_0000000000134933,2023-06-28 12:30:12.377770 UTC,bbr,4.209404934577592,31.607,0.0,199.233.157.148,2023-06-28 12:30:12.377733 UTC,2023-06-28 12:30:27.377784 UTC,ndt-virtual-zp27c_1686341510_0000000000134933,0 days 00:00:15.000051
ndt-virtual-nlx66_1686335671_0000000000104A85,2023-06-28,20001.0,ndt-virtual-nlx66_1686335671_0000000000104A85,2023-06-28 18:59:35.360391 UTC,bbr,1.22276478416788,49.877,0.0,104.35.6.110,2023-06-28 18:59:35.360351 UTC,2023-06-28 18:59:50.361417 UTC,ndt-virtual-nlx66_1686335671_0000000000104A85,0 days 00:00:15.001066
ndt-virtual-xkjf4_1686341515_00000000000ACCA2,2023-06-28,15399.0,ndt-virtual-xkjf4_1686341515_00000000000ACCA2,2023-06-28 17:56:58.910151 UTC,bbr,6.129306636434575,160.426,0.0006710379450988,197.237.37.198,2023-06-28 17:56:58.910115 UTC,2023-06-28 17:57:13.910549 UTC,ndt-virtual-xkjf4_1686341515_00000000000ACCA2,0 days 00:00:15.000434
ndt-virtual-b8lxx_1686340311_00000000001D105B,2023-06-28,17465.0,ndt-virtual-b8lxx_1686340311_00000000001D105B,2023-06-28 08:10:35.003961 UTC,bbr,6.264812131659969,59.888,0.1219049233508623,111.92.85.126,2023-06-28 08:10:35.003929 UTC,2023-06-28 08:10:50.004589 UTC,ndt-virtual-b8lxx_1686340311_00000000001D105B,0 days 00:00:15.000660
ndt-virtual-hmbpt_1686261970_0000000000103C45,2023-06-28,3147.0,ndt-virtual-hmbpt_1686261970_0000000000103C45,2023-06-28 04:48:49.473909 UTC,bbr,8.117386562074666,23.135,0.0,170.135.241.45,2023-06-28 04:48:49.473861 UTC,2023-06-28 04:49:04.474719 UTC,ndt-virtual-hmbpt_1686261970_0000000000103C45,0 days 00:00:15.000858
ndt-virtual-l9nnn_1686340308_0000000000079F22,2023-06-28,55304.0,ndt-virtual-l9nnn_1686340308_0000000000079F22,2023-06-28 05:52:30.602347 UTC,bbr,0.429746353842999,19.703,0.0064680319359076,183.177.122.39,2023-06-28 05:52:30.602306 UTC,2023-06-28 05:52:45.603426 UTC,ndt-virtual-l9nnn_1686340308_0000000000079F22,0 days 00:00:15.001120
ndt-virtual-44zm6_1686334798_00000000001F367C,2023-06-28,55410.0,ndt-virtual-44zm6_1686334798_00000000001F367C,2023-06-28 18:40:41.168438 UTC,bbr,5.648434493081223,41.281,0.0,123.63.2.2,2023-06-28 18:40:41.168385 UTC,2023-06-28 18:40:56.168838 UTC,ndt-virtual-44zm6_1686334798_00000000001F367C,0 days 00:00:15.000453
ndt-virtual-7h4dh_1686339107_0000000000109057,2023-06-28,139425.0,ndt-virtual-7h4dh_1686339107_0000000000109057,2023-06-28 09:27:45.445027 UTC,bbr,8.436900268585017,25.281,0.1204050790982794,103.144.90.25,2023-06-28 09:27:45.444990 UTC,2023-06-28 09:28:00.445564 UTC,ndt-virtual-7h4dh_1686339107_0000000000109057,0 days 00:00:15.000574
ndt-virtual-zp27c_1686341510_0000000000135A50,2023-06-28,10796.0,ndt-virtual-zp27c_1686341510_0000000000135A50,2023-06-28 13:47:35.095598 UTC,bbr,1.9866790312515528,37.728,0.0011491879371178,162.155.127.122,2023-06-28 13:47:35.095563 UTC,2023-06-28 13:47:50.096069 UTC,ndt-virtual-zp27c_1686341510_0000000000135A50,0 days 00:00:15.000506
ndt-virtual-p72xc_1686341510_000000000013FA60,2023-06-28,2731.0,ndt-virtual-p72xc_1686341510_000000000013FA60,2023-06-28 23:40:14.067973 UTC,bbr,11.95070386628163,65.599,0.0368764136606295,205.164.224.22,2023-06-28 23:40:14.067932 UTC,2023-06-28 23:40:29.068839 UTC,ndt-virtual-p72xc_1686341510_000000000013FA60,0 days 00:00:15.000907
ndt-virtual-6z5qc_1686334800_00000000001CCE15,2023-06-28,53813.0,ndt-virtual-6z5qc_1686334800_00000000001CCE15,2023-06-28 14:44:25.697995 UTC,bbr,6.803368216711369,24.856,0.0,136.226.245.21,2023-06-28 14:44:25.697960 UTC,2023-06-28 14:44:40.698109 UTC,ndt-virtual-6z5qc_1686334800_00000000001CCE15,0 days 00:00:15.000149
ndt-virtual-7h4dh_1686339107_0000000000107A4B,2023-06-28,138886.0,ndt-virtual-7h4dh_1686339107_0000000000107A4B,2023-06-28 08:37:27.210836 UTC,bbr,2.542774558645549,19.742,0.2653401921312511,103.141.108.59,2023-06-28 08:37:27.210487 UTC,2023-06-28 08:37:42.211381 UTC,ndt-virtual-7h4dh_1686339107_0000000000107A4B,0 days 00:00:15.000894
ndt-virtual-bpd2l_1686337036_0000000000073787,2023-06-28,10139.0,ndt-virtual-bpd2l_1686337036_0000000000073787,2023-06-28 12:07:27.289108 UTC,bbr,8.724738372148252,65.971,0.0,175.176.58.169,2023-06-28 12:07:27.289018 UTC,2023-06-28 12:07:42.289074 UTC,ndt-virtual-bpd2l_1686337036_0000000000073787,0 days 00:00:15.000056
