id,date,ASNumber,UUID,TestTime,CongestionControl,MeanThroughputMbps,MinRTT,LossRate,ClientIP,StartTime,EndTime,DownloadUUID,duration,ArchiveURL,Filename,processed
ndt-gb59h_1667017504_00000000000058A2,2022-10-29,8881.0,ndt-gb59h_1667017504_00000000000058A2,2022-10-29 15:17:10.708231 UTC,bbr,0.0,0.0,0.0,2001:9e8:34b9:f400:7451:a2d3:efc7:b828,2022-10-29 15:17:10.708135 UTC,2022-10-29 15:17:25.708610 UTC,ndt-gb59h_1667017504_00000000000058A2,0 days 00:00:15.000475,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T153215.751761Z-pcap-mlab2-fra06-ndt.tgz,2022/10/29/ndt-gb59h_1667017504_00000000000058A2.pcap.gz,True
ndt-tttf8_1666961144_000000000000DB4C,2022-10-29,198471.0,ndt-tttf8_1666961144_000000000000DB4C,2022-10-29 12:48:58.103086 UTC,bbr,0.0,0.0,0.0,37.77.115.241,2022-10-29 12:48:58.103050 UTC,2022-10-29 12:49:13.103868 UTC,ndt-tttf8_1666961144_000000000000DB4C,0 days 00:00:15.000818,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T125017.241913Z-pcap-mlab3-mil03-ndt.tgz,2022/10/29/ndt-tttf8_1666961144_000000000000DB4C.pcap.gz,True
ndt-svcz2_1665304374_00000000000E9083,2022-10-29,49981.0,ndt-svcz2_1665304374_00000000000E9083,2022-10-29 14:47:41.559305 UTC,bbr,0.0,0.0,0.0,190.2.138.14,2022-10-29 14:47:41.559277 UTC,2022-10-29 14:47:56.560048 UTC,ndt-svcz2_1665304374_00000000000E9083,0 days 00:00:15.000771,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T145350.544393Z-pcap-mlab1-ams09-ndt.tgz,2022/10/29/ndt-svcz2_1665304374_00000000000E9083.pcap.gz,True
ndt-sq975_1666891407_0000000000019682,2022-10-29,17511.0,ndt-sq975_1666891407_0000000000019682,2022-10-29 07:47:32.224723 UTC,bbr,0.0,0.0,0.0,150.66.87.238,2022-10-29 07:47:32.224691 UTC,2022-10-29 07:47:47.225433 UTC,ndt-sq975_1666891407_0000000000019682,0 days 00:00:15.000742,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T075115.337306Z-pcap-mlab3-hnd05-ndt.tgz,2022/10/29/ndt-sq975_1666891407_0000000000019682.pcap.gz,True
ndt-q9dkw_1665487144_0000000000111651,2022-10-29,212238.0,ndt-q9dkw_1665487144_0000000000111651,2022-10-29 10:15:20.765892 UTC,bbr,0.0,0.0,0.0,37.19.205.173,2022-10-29 10:15:20.765858 UTC,2022-10-29 10:15:35.766315 UTC,ndt-q9dkw_1665487144_0000000000111651,0 days 00:00:15.000457,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T102012.844263Z-pcap-mlab1-hnd05-ndt.tgz,2022/10/29/ndt-q9dkw_1665487144_0000000000111651.pcap.gz,True
ndt-r4sm7_1665474191_00000000000CE07D,2022-10-29,16276.0,ndt-r4sm7_1665474191_00000000000CE07D,2022-10-29 13:29:38.295402 UTC,bbr,0.0,0.0,0.0,2604:2dc0:200:2af::,2022-10-29 13:29:38.295376 UTC,2022-10-29 13:29:53.295872 UTC,ndt-r4sm7_1665474191_00000000000CE07D,0 days 00:00:15.000496,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T140705.395286Z-pcap-mlab1-sea04-ndt.tgz,2022/10/29/ndt-r4sm7_1665474191_00000000000CE07D.pcap.gz,True
ndt-mlp6m_1665427905_00000000000FEB22,2022-10-29,16232.0,ndt-mlp6m_1665427905_00000000000FEB22,2022-10-29 08:21:00.282905 UTC,bbr,0.0,0.0,0.0,158.148.82.76,2022-10-29 08:21:00.282872 UTC,2022-10-29 08:21:15.283121 UTC,ndt-mlp6m_1665427905_00000000000FEB22,0 days 00:00:15.000249,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T082624.987137Z-pcap-mlab1-mil05-ndt.tgz,2022/10/29/ndt-mlp6m_1665427905_00000000000FEB22.pcap.gz,True
ndt-54nbm_1666948486_000000000000EE43,2022-10-29,37717.0,ndt-54nbm_1666948486_000000000000EE43,2022-10-29 09:35:27.425248 UTC,bbr,0.0,0.0,0.0,41.229.85.253,2022-10-29 09:35:27.425187 UTC,2022-10-29 09:35:42.425677 UTC,ndt-54nbm_1666948486_000000000000EE43,0 days 00:00:15.000490,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T093910.900852Z-pcap-mlab2-bcn01-ndt.tgz,2022/10/29/ndt-54nbm_1666948486_000000000000EE43.pcap.gz,True
ndt-6bf9h_1664943121_0000000000113023,2022-10-29,3269.0,ndt-6bf9h_1664943121_0000000000113023,2022-10-29 23:08:27.269024 UTC,bbr,0.0,0.0,0.0,95.250.50.133,2022-10-29 23:08:27.268988 UTC,2022-10-29 23:08:42.269481 UTC,ndt-6bf9h_1664943121_0000000000113023,0 days 00:00:15.000493,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T232718.322637Z-pcap-mlab3-mrs03-ndt.tgz,2022/10/29/ndt-6bf9h_1664943121_0000000000113023.pcap.gz,True
ndt-cv8sk_1666972057_0000000000027EE8,2022-10-29,24378.0,ndt-cv8sk_1666972057_0000000000027EE8,2022-10-29 14:29:42.655909 UTC,bbr,0.0,0.0,0.0,1.47.74.18,2022-10-29 14:29:42.655866 UTC,2022-10-29 14:29:57.655895 UTC,ndt-cv8sk_1666972057_0000000000027EE8,0 days 00:00:15.000029,gs://archive-measurement-lab/ndt/pcap/2022/10/29/20221029T143038.198328Z-pcap-mlab3-sin01-ndt.tgz,2022/10/29/ndt-cv8sk_1666972057_0000000000027EE8.pcap.gz,True
